0.00E+00	0.003688	-0.092392
5.00E-05	0.003696	-0.092081
1.00E-04	0.003704	-0.092503
0.00015		0.003652	-0.091938
0.0002		0.003692	-0.092538
0.00025		0.003706	-0.091733
0.0003		0.003677	-0.092862
0.00035		0.003644	-0.091327
0.0004		0.003719	-0.093778
0.00045		0.003692	-0.076905
0.0005		0.003692	-0.055733
0.00055		0.0037	-0.05458
0.0006		0.003688	-0.052803
0.00065		0.003686	-0.053659
0.0007		0.003686	-0.052957
0.00075		0.003655	-0.053501
0.0008		0.003653	-0.053014
0.00085		0.003662	-0.053409
0.0009		0.003704	-0.053095
0.00095		0.003578	-0.053376
0.001		0.003722	-0.053123
0.00105		0.003651	-0.053254
0.0011		0.003793	-0.053379
0.00115		0.002649	-0.054119
0.0012		0.000866	-0.05408
0.00125		0.000666	-0.05417
0.0013		0.000536	-0.054123
0.00135		0.000589	-0.054196
0.0014		0.000525	-0.054121
0.00145		0.000565	-0.054207
0.0015		0.000599	-0.054117
0.00155		0.000585	-0.054211
0.0016		0.000557	-0.054106
0.00165		0.000566	-0.054178
0.0017		0.000596	-0.054001
0.00175		0.00062	-0.054579
0.0018		0.000781	-0.058066
0.00185		0.001386	-0.059274
0.0019		0.001542	-0.059381
0.00195		0.001605	-0.059493
0.002		0.001611	-0.059363
0.00205		0.001564	-0.059401
0.0021		0.001588	-0.059314
0.00215		0.001627	-0.059458
0.0022		0.00167	-0.059373
0.00225		0.001593	-0.05946
0.0023		0.001535	-0.059204
0.00235		0.001612	-0.059477
0.0024		0.001535	-0.059163
0.00245		0.001579	-0.063452
0.0025		0.001041	-0.066261
0.00255		0.000613	-0.066497
0.0026		0.000609	-0.066542
0.00265		0.000565	-0.066644
0.0027		0.00058	-0.066518
0.00275		0.000573	-0.066734
0.0028		0.00057	-0.066388
0.00285		0.000544	-0.066793
0.0029		0.000531	-0.066148
0.00295		0.000584	-0.067018
0.003		0.000618	-0.065817
0.00305		0.000554	-0.067893
0.0031		0.000613	-0.056113
0.00315		0.00061	-0.036779
0.0032		0.000526	-0.035087
0.00325		0.000543	-0.033683
0.0033		0.000562	-0.034247
0.00335		0.000542	-0.03369
0.0034		0.00057	-0.034175
0.00345		0.000561	-0.033797
0.0035		0.000598	-0.03403
0.00355		0.000611	-0.033837
0.0036		0.000562	-0.034066
0.00365		0.000515	-0.033879
0.0037		0.000568	-0.033904
0.00375		0.000618	-0.034166
0.0038		0.000589	-0.038997
0.00385		0.000588	-0.040996
0.0039		0.000607	-0.041101
0.00395		0.000526	-0.041131
0.004		0.000589	-0.041103
0.00405		0.000584	-0.041166
0.0041		0.000618	-0.041155
0.00415		0.000537	-0.041152
0.0042		0.000589	-0.041104
0.00425		0.000574	-0.041204
0.0043		0.000579	-0.041124
0.00435		0.000569	-0.041377
0.0044		0.000613	-0.039678
0.00445		0.000788	-0.022821
0.0045		0.003488	-0.015441
0.00455		0.004758	-0.01531
0.0046		0.004753	-0.014567
0.00465		0.004837	-0.015109
0.0047		0.004741	-0.014592
0.00475		0.004801	-0.015147
0.0048		0.004827	-0.014501
0.00485		0.004872	-0.015238
0.0049		0.004821	-0.014366
0.00495		0.004863	-0.015399
0.005		0.004819	-0.013959
0.00505		0.004968	-0.016259
0.0051		0.004808	0.002277
0.00515		0.005713	0.020269
0.0052		0.006781	0.021116
0.00525		0.006855	0.022362
0.0053		0.006927	0.021932
0.00535		0.006874	0.022162
0.0054		0.006897	0.02222
0.00545		0.006848	0.021947
0.0055		0.006924	0.022391
0.00555		0.006896	0.02171
0.0056		0.006918	0.022774
0.00565		0.006944	0.021042
0.0057		0.006919	0.024331
0.00575		0.00697	0.007884
0.0058		0.006563	-0.028091
0.00585		0.005961	-0.032817
0.0059		0.00588	-0.035079
0.00595		0.005807	-0.034278
0.006		0.005813	-0.035069
0.00605		0.005843	-0.034496
0.0061		0.005909	-0.034983
0.00615		0.005824	-0.034607
0.0062		0.005843	-0.03488
0.00625		0.00577	-0.034684
0.0063		0.005767	-0.034676
0.00635		0.005729	-0.035132
0.0064		0.005867	-0.03097
0.00645		0.005429	0.003996
0.0065		0.003282	0.016378
0.00655		0.002731	0.017405
0.0066		0.002621	0.017888
0.00665		0.002613	0.017941
0.0067		0.002568	0.017912
0.00675		0.002688	0.018051
0.0068		0.002587	0.017782
0.00685		0.002569	0.018108
0.0069		0.002662	0.017611
0.00695		0.002594	0.018336
0.007		0.002592	0.017291
0.00705		0.002646	0.019016
0.0071		0.002655	0.006534
0.00715		0.003197	-0.007049
0.0072		0.003604	-0.007776
0.00725		0.003593	-0.008704
0.0073		0.003636	-0.00832
0.00735		0.003597	-0.008496
0.0074		0.003605	-0.008594
0.00745		0.003579	-0.00839
0.0075		0.003584	-0.008818
0.00755		0.003625	-0.00829
0.0076		0.003632	-0.009097
0.00765		0.0036	-0.007689
0.0077		0.003653	-0.010265
0.00775		0.00359	0.003866
0.0078		0.004769	0.027892
0.00785		0.005733	0.030161
0.0079		0.005671	0.031856
0.00795		0.005725	0.03121
0.008		0.005802	0.031698
0.00805		0.005861	0.031355
0.0081		0.005777	0.031636
0.00815		0.00573	0.031472
0.0082		0.005826	0.031538
0.00825		0.005785	0.031588
0.0083		0.005798	0.031209
0.00835		0.005713	0.032086
0.0084		0.005909	0.027679
0.00845		0.00507	0.01461
0.0085		0.002251	0.012282
0.00855		0.001593	0.011559
0.0086		0.001483	0.011702
0.00865		0.001548	0.011557
0.0087		0.001472	0.011717
0.00875		0.0015	0.011565
0.0088		0.001501	0.011588
0.00885		0.001531	0.011597
0.0089		0.001479	0.011618
0.00895		0.001476	0.01159
0.009		0.001504	0.011538
0.00905		0.001515	0.010708
0.0091		0.001605	-0.002251
0.00915		0.002945	-0.007994
0.0092		0.003559	-0.008284
0.00925		0.003563	-0.008696
0.0093		0.00361	-0.00866
0.00935		0.003562	-0.008624
0.0094		0.0036	-0.008627
0.00945		0.003605	-0.008508
0.0095		0.00359	-0.008724
0.00955		0.0036	-0.00842
0.0096		0.003581	-0.008966
0.00965		0.003577	-0.008197
0.0097		0.0036	-0.0095
0.00975		0.003648	-0.001121
0.0098		0.003601	0.011902
0.00985		0.003567	0.012791
0.0099		0.003604	0.013981
0.00995		0.003626	0.013383
0.01		0.003562	0.013983
0.01005		0.003568	0.013381
0.0101		0.003526	0.013861
0.01015		0.003582	0.013322
0.0102		0.003544	0.013941
0.01025		0.003644	0.013194
0.0103		0.003523	0.014188
0.01035		0.003619	0.012566
0.0104		0.003519	0.019922
0.01045		0.004292	0.0373
0.0105		0.005588	0.040039
0.01055		0.005719	0.040968
0.0106		0.005806	0.040649
0.01065		0.005761	0.040957
0.0107		0.005765	0.040717
0.01075		0.005729	0.040913
0.0108		0.005744	0.040806
0.01085		0.005836	0.040975
0.0109		0.005799	0.040757
0.01095		0.005784	0.040846
0.011		0.005773	0.040865
0.01105		0.005787	0.040328
0.0111		0.005706	0.03212
0.01115		0.004937	0.028604
0.0112		0.004794	0.028424
0.01125		0.004723	0.028239
0.0113		0.00476	0.028254
0.01135		0.004756	0.028287
0.0114		0.004767	0.028138
0.01145		0.004749	0.028239
0.0115		0.004754	0.028169
0.01155		0.004741	0.028315
0.0116		0.004706	0.028021
0.01165		0.004689	0.028354
0.0117		0.004772	0.028212
0.01175		0.004697	0.043078
0.0118		0.003918	0.052584
0.01185		0.003581	0.05265
0.0119		0.003563	0.053646
0.01195		0.003588	0.052942
0.012		0.003551	0.053534
0.01205		0.003527	0.052946
0.0121		0.003577	0.053572
0.01215		0.003536	0.052943
0.0122		0.003621	0.053613
0.01225		0.003564	0.052805
0.0123		0.003586	0.053904
0.01235		0.003473	0.051967
0.0124		0.003686	0.060866
0.01245		0.002839	0.078343
0.0125		0.001667	0.080679
0.01255		0.001567	0.081665
0.0126		0.001422	0.081299
0.01265		0.001487	0.081595
0.0127		0.001487	0.081411
0.01275		0.001489	0.08148
0.0128		0.001483	0.08152
0.01285		0.001471	0.081392
0.0129		0.00153	0.081563
0.01295		0.001424	0.081217
0.013		0.001559	0.082017
0.01305		0.001368	0.078027
0.0131		0.002357	0.062549
0.01315		0.004427	0.059013
0.0132		0.004613	0.058183
0.01325		0.004731	0.058188
0.0133		0.004621	0.057996
0.01335		0.004699	0.058236
0.0134		0.004689	0.058065
0.01345		0.004752	0.058239
0.0135		0.004706	0.058002
0.01355		0.004745	0.058307
0.0136		0.004731	0.05791
0.01365		0.004691	0.058279
0.0137		0.004651	0.058436
0.01375		0.00473	0.072252
0.0138		0.003972	0.079536
0.01385		0.003579	0.079898
0.0139		0.003537	0.080272
0.01395		0.00352	0.080247
0.014		0.003566	0.080177
0.01405		0.003542	0.080346
0.0141		0.003553	0.080062
0.01415		0.003558	0.080357
0.0142		0.003545	0.079791
0.01425		0.003556	0.080513
0.0143		0.003638	0.079461
0.01435		0.003555	0.081247
0.0144		0.003552	0.066116
0.01445		0.002307	0.050203
0.0145		0.001497	0.04962
0.01455		0.001456	0.048287
0.0146		0.001468	0.048928
0.01465		0.001538	0.048398
0.0147		0.001493	0.0487
0.01475		0.00154	0.048352
0.0148		0.001459	0.048607
0.01485		0.001481	0.048386
0.0149		0.001418	0.048588
0.01495		0.001557	0.048531
0.015		0.001493	0.048382
0.01505		0.001493	0.049701
0.0151		0.001529	0.053112
0.01515		0.001531	0.053415
0.0152		0.001515	0.053746
0.01525		0.001413	0.053568
0.0153		0.001437	0.0537
0.01535		0.00143	0.053501
0.0154		0.001434	0.053733
0.01545		0.001453	0.053471
0.0155		0.001437	0.053793
0.01555		0.001389	0.053469
0.0156		0.0015	0.053825
0.01565		0.001459	0.053143
0.0157		0.001467	0.056167
0.01575		0.001208	0.071559
0.0158		-1.65E-05	0.075977
0.01585		-0.000355	0.076536
0.0159		-0.000406	0.07663
0.01595		-0.000399	0.076621
0.016		-0.000443	0.076545
0.01605		-0.000461	0.076564
0.0161		-0.000441	0.076472
0.01615		-0.000458	0.076676
0.0162		-0.000406	0.076528
0.01625		-0.000387	0.076671
0.0163		-0.000363	0.076482
0.01635		-0.000448	0.07666
0.0164		-0.000494	0.067827
0.01645		-0.001142	0.062264
0.0165		-0.00147	0.062157
0.01655		-0.001435	0.061683
0.0166		-0.001487	0.061905
0.01665		-0.001479	0.06177
0.0167		-0.001413	0.061884
0.01675		-0.001555	0.061658
0.0168		-0.001505	0.061773
0.01685		-0.001507	0.061652
0.0169		-0.001474	0.061702
0.01695		-0.00147	0.061692
0.017		-0.001397	0.061752
0.01705		-0.001504	0.061448
0.0171		-0.000473	0.06083
0.01715		0.000432	0.060715
0.0172		0.000461	0.060623
0.01725		0.000485	0.06068
0.0173		0.000443	0.060601
0.01735		0.000448	0.060701
0.0174		0.000419	0.060489
0.01745		0.000417	0.060689
0.0175		0.000398	0.060416
0.01755		0.000424	0.060783
0.0176		0.000485	0.060349
0.01765		0.00044	0.06119
0.0177		0.000498	0.056756
0.01775		0.000252	0.042923
0.0178		-0.000347	0.040418
0.01785		-0.000398	0.039556
0.0179		-0.000406	0.039789
0.01795		-0.000414	0.039433
0.018		-0.000457	0.039797
0.01805		-0.000436	0.039357
0.0181		-0.000477	0.039774
0.01815		-0.000483	0.039276
0.0182		-0.000487	0.039889
0.01825		-0.000441	0.039174
0.0183		-0.00045	0.040103
0.01835		-0.000425	0.039174
0.0184		-0.000395	0.061193
0.01845		0.000212	0.075998
0.0185		0.000441	0.076409
0.01855		0.00044	0.077507
0.0186		0.000488	0.077015
0.01865		0.000425	0.077325
0.0187		0.000406	0.077289
0.01875		0.000461	0.077225
0.0188		0.000413	0.077401
0.01885		0.000495	0.077018
0.0189		0.000503	0.07761
0.01895		0.000499	0.076593
0.019		0.000385	0.078354
0.01905		0.000406	0.063968
0.0191		-0.00137	0.048335
0.01915		-0.002444	0.047727
0.0192		-0.002453	0.046398
0.01925		-0.002533	0.046986
0.0193		-0.002543	0.046494
0.01935		-0.002535	0.046796
0.0194		-0.002528	0.046568
0.01945		-0.002498	0.046633
0.0195		-0.002531	0.0467
0.01955		-0.002544	0.046448
0.0196		-0.002592	0.046917
0.01965		-0.002491	0.045799
0.0197		-0.002627	0.051323
0.01975		-0.00177	0.068678
0.0198		-0.000577	0.071933
0.01985		-0.000561	0.072768
0.0199		-0.000466	0.072661
0.01995		-0.000473	0.072943
0.02		-0.000499	0.07277
0.02005		-0.000478	0.072798
0.0201		-0.000433	0.072757
0.02015		-0.000447	0.072783
0.0202		-0.000411	0.072818
0.02025		-0.000469	0.072584
0.0203		-0.000433	0.07303
0.02035		-0.000339	0.070529
0.0204		-0.000796	0.052421
0.02045		-0.002889	0.046279
0.0205		-0.00344	0.045768
0.02055		-0.003522	0.045446
0.0206		-0.003519	0.045457
