0.00E+00	-0.015291	0.249076
5.00E-05	-0.013841	0.249427
1.00E-04	-0.013606	0.249006
0.00015		-0.013491	0.249325
0.0002		-0.013466	0.248946
0.00025		-0.013486	0.24918
0.0003		-0.013464	0.248846
0.00035		-0.013435	0.249095
0.0004		-0.013506	0.248714
0.00045		-0.013477	0.249372
0.0005		-0.013465	0.246334
0.00055		-0.013446	0.22888
0.0006		-0.013418	0.223237
0.00065		-0.013505	0.222619
0.0007		-0.016051	0.222378
0.00075		-0.017347	0.22239
0.0008		-0.01742	0.22228
0.00085		-0.017508	0.222291
0.0009		-0.017419	0.222302
0.00095		-0.017431	0.222232
0.001		-0.017479	0.222273
0.00105		-0.017442	0.22204
0.0011		-0.017457	0.222351
0.00115		-0.017511	0.220063
0.0012		-0.017465	0.200235
0.00125		-0.017416	0.192551
0.0013		-0.017463	0.192105
0.00135		-0.017131	0.191517
0.0014		-0.016489	0.191732
0.00145		-0.016455	0.191366
0.0015		-0.016415	0.191665
0.00155		-0.016477	0.191242
0.0016		-0.016359	0.19155
0.00165		-0.016377	0.191136
0.0017		-0.016393	0.191734
0.00175		-0.016445	0.190825
0.0018		-0.016345	0.192323
0.00185		-0.016384	0.183903
0.0019		-0.016333	0.167558
0.00195		-0.016419	0.165956
0.002		-0.016138	0.164569
0.00205		-0.01556	0.16525
0.0021		-0.015432	0.164461
0.00215		-0.015424	0.165301
0.0022		-0.015468	0.164358
0.00225		-0.015498	0.165287
0.0023		-0.015398	0.164106
0.00235		-0.015435	0.165551
0.0024		-0.015425	0.163433
0.00245		-0.015464	0.167048
0.0025		-0.015427	0.149717
0.00255		-0.015446	0.112661
0.0026		-0.015356	0.107819
0.00265		-0.015907	0.105321
0.0027		-0.017919	0.106159
0.00275		-0.018284	0.10521
0.0028		-0.018411	0.1059
0.00285		-0.018356	0.105276
0.0029		-0.018421	0.105892
0.00295		-0.018459	0.105242
0.003		-0.018457	0.105861
0.00305		-0.018477	0.105058
0.0031		-0.018452	0.106314
0.00315		-0.018385	0.101517
0.0032		-0.018437	0.082191
0.00325		-0.018382	0.076834
0.0033		-0.018444	0.07618
0.00335		-0.016714	0.075959
0.0034		-0.015543	0.076078
0.00345		-0.015497	0.075821
0.0035		-0.015402	0.076004
0.00355		-0.015409	0.075758
0.0036		-0.015405	0.076021
0.00365		-0.015512	0.075637
0.0037		-0.015397	0.07614
0.00375		-0.015497	0.075427
0.0038		-0.015377	0.076606
0.00385		-0.015404	0.063154
0.0039		-0.015394	0.050688
0.00395		-0.015353	0.050629
0.004		-0.015685	0.049307
0.00405		-0.016177	0.050111
0.0041		-0.016164	0.049244
0.00415		-0.016269	0.050094
0.0042		-0.01631	0.049155
0.00425		-0.016288	0.050086
0.0043		-0.016286	0.049062
0.00435		-0.016253	0.050355
0.0044		-0.016248	0.048531
0.00445		-0.016241	0.051354
0.0045		-0.016264	0.028893
0.00455		-0.016258	0.004699
0.0046		-0.016323	0.003903
0.00465		-0.016253	0.0016
0.0047		-0.015597	0.002858
0.00475		-0.015369	0.001638
0.0048		-0.015336	0.002743
0.00485		-0.015308	0.001644
0.0049		-0.015305	0.002773
0.00495		-0.01536	0.001553
0.005		-0.015331	0.002912
0.00505		-0.015323	0.001087
0.0051		-0.015328	0.004113
0.00515		-0.015301	-0.009548
0.0052		-0.015325	-0.036865
0.00525		-0.015258	-0.040553
0.0053		-0.015221	-0.042098
0.00535		-0.012544	-0.041782
0.0054		-0.011139	-0.042124
0.00545		-0.011099	-0.041905
0.0055		-0.010984	-0.041887
0.00555		-0.010996	-0.042033
0.0056		-0.010959	-0.041851
0.00565		-0.011039	-0.04218
0.0057		-0.010954	-0.041637
0.00575		-0.010997	-0.042425
0.0058		-0.011026	-0.042103
0.00585		-0.011014	-0.075596
0.0059		-0.010999	-0.096898
0.00595		-0.011039	-0.097041
0.006		-0.01103	-0.099167
0.00605		-0.011002	-0.097916
0.0061		-0.010997	-0.099082
0.00615		-0.010974	-0.098042
0.0062		-0.011007	-0.099052
0.00625		-0.011004	-0.097987
0.0063		-0.011054	-0.099092
0.00635		-0.010952	-0.097751
0.0064		-0.010971	-0.09952
0.00645		-0.010984	-0.096952
0.0065		-0.011008	-0.116971
0.00655		-0.010912	-0.137369
0.0066		-0.011067	-0.138176
0.00665		-0.010339	-0.1399
0.0067		-0.008286	-0.138994
0.00675		-0.007932	-0.139746
0.0068		-0.00784	-0.139092
0.00685		-0.007884	-0.139627
0.0069		-0.007829	-0.139088
0.00695		-0.007874	-0.139634
0.007		-0.007839	-0.139077
0.00705		-0.00791	-0.139643
0.0071		-0.007885	-0.138721
0.00715		-0.00791	-0.142158
0.0072		-0.007869	-0.149454
0.00725		-0.007864	-0.1505
0.0073		-0.007403	-0.150875
0.00735		-0.004614	-0.150796
0.0074		-0.003719	-0.150886
0.00745		-0.003636	-0.150731
0.0075		-0.003551	-0.150833
0.00755		-0.00363	-0.150789
0.0076		-0.003585	-0.150728
0.00765		-0.00361	-0.150705
0.0077		-0.003682	-0.1507
0.00775		-0.003601	-0.150645
0.0078		-0.003619	-0.150908
0.00785		-0.003641	-0.153695
0.0079		-0.003601	-0.154744
0.00795		-0.003603	-0.154729
0.008		-0.003578	-0.154758
0.00805		-0.003627	-0.154741
0.0081		-0.003632	-0.154759
0.00815		-0.003605	-0.154693
0.0082		-0.003623	-0.154721
0.00825		-0.003589	-0.154638
0.0083		-0.003615	-0.15459
0.00835		-0.003633	-0.154673
0.0084		-0.003674	-0.154289
0.00845		-0.003703	-0.157678
0.0085		-0.003662	-0.199352
0.00855		-0.003603	-0.217885
0.0086		-0.003621	-0.218339
0.00865		-0.003189	-0.220024
0.0087		-0.002468	-0.218975
0.00875		-0.002466	-0.220031
0.0088		-0.00248	-0.218974
0.00885		-0.002488	-0.220043
0.0089		-0.002422	-0.218806
0.00895		-0.002385	-0.220212
0.009		-0.002399	-0.218383
0.00905		-0.00245	-0.220854
0.0091		-0.002455	-0.216513
0.00915		-0.002466	-0.240949
0.0092		-0.002447	-0.276439
0.00925		-0.002418	-0.279174
0.0093		-0.002321	-0.281847
0.00935		-0.001002	-0.280629
0.0094		-0.000396	-0.281762
0.00945		-0.000355	-0.280854
0.0095		-0.00033	-0.28145
0.00955		-0.000404	-0.280873
0.0096		-0.000414	-0.281339
0.00965		-0.000404	-0.280904
0.0097		-0.000351	-0.281161
0.00975		-0.000343	-0.280854
0.0098		-0.000366	-0.281359
0.00985		-0.00037	-0.28179
0.0099		-0.000362	-0.281967
0.00995		-0.000239	-0.281819
0.01		0.00162	-0.281867
0.01005		0.002516	-0.281789
0.0101		0.002472	-0.281809
0.01015		0.002569	-0.281702
0.0102		0.002568	-0.281688
0.01025		0.002618	-0.281645
0.0103		0.002533	-0.281603
0.01035		0.002671	-0.281606
0.0104		0.002546	-0.281405
0.01045		0.002638	-0.282012
0.0105		0.00245	-0.286864
0.01055		0.002703	-0.28855
0.0106		0.002303	-0.288622
0.01065		0.005271	-0.288675
0.0107		0.008554	-0.288673
0.01075		0.00872	-0.288575
0.0108		0.00897	-0.288524
0.01085		0.008863	-0.288531
0.0109		0.008942	-0.288431
0.01095		0.00887	-0.288352
0.011		0.00892	-0.288395
0.01105		0.008863	-0.2883
0.0111		0.008911	-0.288354
0.01115		0.008963	-0.287386
0.0112		0.008866	-0.286123
0.01125		0.009025	-0.28611
0.0113		0.008102	-0.285907
0.01135		0.005289	-0.28599
0.0114		0.004763	-0.285855
0.01145		0.004576	-0.285931
0.0115		0.004639	-0.285752
0.01155		0.004639	-0.28584
0.0116		0.004662	-0.285615
0.01165		0.004649	-0.285827
0.0117		0.004682	-0.285432
0.01175		0.004678	-0.286023
0.0118		0.004665	-0.283009
0.01185		0.004649	-0.275576
0.0119		0.004583	-0.274334
0.01195		0.004904	-0.273808
0.012		0.006985	-0.27393
0.01205		0.007774	-0.273774
0.0121		0.00784	-0.273793
0.01215		0.007938	-0.27363
0.0122		0.007879	-0.273721
0.01225		0.007868	-0.273622
0.0123		0.007831	-0.273641
0.01235		0.00787	-0.273511
0.0124		0.007858	-0.273563
0.01245		0.007924	-0.273
0.0125		0.007799	-0.270745
0.01255		0.00784	-0.27025
0.0126		0.007795	-0.27011
0.01265		0.009414	-0.270097
0.0127		0.010822	-0.269949
0.01275		0.010812	-0.270038
0.0128		0.010985	-0.26986
0.01285		0.010874	-0.269952
0.0129		0.010937	-0.26979
0.01295		0.010892	-0.269955
0.013		0.010893	-0.269651
0.01305		0.010795	-0.269841
0.0131		0.010911	-0.269683
0.01315		0.010833	-0.278243
0.0132		0.010974	-0.28285
0.01325		0.010696	-0.283158
0.0133		0.012101	-0.28322
0.01335		0.013906	-0.283316
0.0134		0.014059	-0.283058
0.01345		0.014142	-0.283361
0.0135		0.014061	-0.282829
0.01355		0.014188	-0.283412
0.0136		0.014112	-0.282558
0.01365		0.014126	-0.283686
0.0137		0.014098	-0.281954
0.01375		0.014119	-0.284922
0.0138		0.014083	-0.268685
0.01385		0.014083	-0.239869
0.0139		0.014068	-0.237034
