0.00E+00	-0.001158	-0.076543
5.00E-05	-0.001086	-0.076251
1.00E-04	-0.001117	-0.076487
0.00015		-0.00112	-0.07621
0.0002		-0.001126	-0.076491
0.00025		-0.001141	-0.076218
0.0003		-0.001186	-0.076539
0.00035		-0.001062	-0.075966
0.0004		-0.00113	-0.076667
0.00045		-0.001076	-0.075837
0.0005		-0.002206	-0.090563
0.00055		-0.003101	-0.101597
0.0006		-0.003141	-0.101713
0.00065		-0.0032	-0.102721
0.0007		-0.003176	-0.102119
0.00075		-0.003181	-0.102695
0.0008		-0.003218	-0.102204
0.00085		-0.00323	-0.102708
0.0009		-0.003255	-0.102091
0.00095		-0.003186	-0.102616
0.001		-0.003187	-0.102009
0.00105		-0.003189	-0.102691
0.0011		-0.003341	-0.10185
0.00115		-0.002649	-0.11579
0.0012		-0.001426	-0.125683
0.00125		-0.001219	-0.125948
0.0013		-0.001073	-0.126791
0.00135		-0.001115	-0.12637
0.0014		-0.001113	-0.126659
0.00145		-0.001123	-0.126392
0.0015		-0.001123	-0.126496
0.00155		-0.001154	-0.126347
0.0016		-0.001095	-0.126457
0.00165		-0.001117	-0.12638
0.0017		-0.001135	-0.126509
0.00175		-0.001115	-0.126328
0.0018		-0.001376	-0.12611
0.00185		-0.002798	-0.125342
0.0019		-0.003157	-0.125265
0.00195		-0.003223	-0.125138
0.002		-0.00323	-0.125158
0.00205		-0.003117	-0.125112
0.0021		-0.003187	-0.125097
0.00215		-0.003238	-0.125131
0.0022		-0.003237	-0.125123
0.00225		-0.003222	-0.125114
0.0023		-0.003231	-0.125005
0.00235		-0.003244	-0.124997
0.0024		-0.003186	-0.124994
0.00245		-0.003197	-0.125097
0.0025		-0.002684	-0.126495
0.00255		-0.002181	-0.126976
0.0026		-0.002233	-0.126947
0.00265		-0.002202	-0.127016
0.0027		-0.00214	-0.127021
0.00275		-0.0021	-0.127028
0.0028		-0.002206	-0.126972
0.00285		-0.002152	-0.12701
0.0029		-0.002182	-0.126899
0.00295		-0.002181	-0.126961
0.003		-0.002204	-0.126858
0.00305		-0.002113	-0.12695
0.0031		-0.002273	-0.127126
0.00315		-0.001319	-0.135757
