0.00E+00	0.000684	0.001445
5.00E-05	0.000627	0.001062
1.00E-04	0.000591	0.001364
0.00015		0.000607	0.001135
0.0002		0.000609	0.001397
0.00025		0.000587	0.00111
0.0003		0.000542	0.001296
0.00035		0.000592	0.001158
0.0004		0.000568	0.001302
0.00045		0.000585	0.001149
0.0005		0.000609	0.001335
0.00055		0.000607	0.001238
0.0006		0.000542	0.001279
0.00065		0.000587	0.001167
0.0007		0.000581	0.001208
0.00075		0.000535	0.001179
0.0008		0.000594	0.001239
0.00085		0.000583	0.001163
0.0009		0.000633	0.001279
0.00095		0.000628	0.001142
0.001		0.000633	0.001411
0.00105		0.000603	0.000506
0.0011		0.00062	-0.00146
0.00115		0.000576	-0.00173
0.0012		0.000647	-0.001855
0.00125		0.000628	-0.001847
0.0013		0.000611	-0.001858
0.00135		0.000603	-0.001873
0.0014		0.000625	-0.001808
0.00145		0.000551	-0.001763
0.0015		0.000637	-0.001844
0.00155		0.000607	-0.001799
0.0016		0.000651	-0.001814
0.00165		-0.001083	-0.001943
0.0017		-0.002272	-0.001297
0.00175		-0.002276	0.002872
0.0018		-0.002342	0.004214
0.00185		-0.002389	0.004383
0.0019		-0.00228	0.004418
0.00195		-0.002315	0.004481
0.002		-0.002287	0.004443
0.00205		-0.002311	0.004454
0.0021		-0.002304	0.004447
0.00215		-0.002437	0.004473
0.0022		-0.002321	0.00439
0.00225		-0.002524	0.004505
0.0023		-0.001172	0.004394
0.00235		0.001313	0.004231
0.0024		0.001504	-0.004869
0.00245		0.001678	-0.009746
0.0025		0.001625	-0.009829
0.00255		0.001688	-0.010253
0.0026		0.001622	-0.010038
0.00265		0.001693	-0.010272
0.0027		0.001608	-0.010117
0.00275		0.001667	-0.010237
0.0028		0.001616	-0.010116
0.00285		0.001701	-0.010172
0.0029		0.001575	-0.010099
0.00295		0.001812	-0.010171
0.003		0.002513	-0.010221
0.00305		0.002697	-0.009352
0.0031		0.002723	-0.008138
0.00315		0.002639	-0.008168
0.0032		0.002677	-0.007936
0.00325		0.00265	-0.008217
0.0033		0.002654	-0.008006
0.00335		0.002699	-0.008254
0.0034		0.002662	-0.007954
0.00345		0.002614	-0.00826
0.0035		0.002729	-0.007848
0.00355		0.002629	-0.008464
0.0036		0.002721	-0.007635
0.00365		0.001572	-0.009073
0.0037		0.00071	-0.002309
0.00375		0.000625	0.015462
0.0038		0.000589	0.018407
0.00385		0.000624	0.019363
0.0039		0.000596	0.01915
0.00395		0.000588	0.019444
0.004		0.00058	0.019132
0.00405		0.000613	0.019419
0.0041		0.000665	0.019191
0.00415		0.000598	0.019383
0.0042		0.000659	0.019215
0.00425		0.000518	0.019415
0.0043		0.001537	0.019182
0.00435		0.002576	0.019256
0.0044		0.002624	0.01419
0.00445		0.002709	0.011104
0.0045		0.002617	0.010986
0.00455		0.002638	0.010763
0.0046		0.002606	0.010789
0.00465		0.002658	0.010733
0.0047		0.002662	0.010784
0.00475		0.00265	0.010825
0.0048		0.002679	0.010737
0.00485		0.002533	0.010785
0.0049		0.002714	0.010704
0.00495		0.002034	0.010851
0.005		0.000118	0.010612
0.00505		-0.000204	0.01335
0.0051		-0.000352	0.015791
0.00515		-0.000276	0.015857
0.0052		-0.000234	0.016086
0.00525		-0.000274	0.015892
0.0053		-0.000284	0.015988
0.00535		-0.000232	0.015934
0.0054		-0.000289	0.016015
0.00545		-0.00027	0.015941
0.0055		-0.00028	0.015972
0.00555		-0.000265	0.015934
0.0056		-0.000278	0.015957
0.00565		-0.000226	0.016074
0.0057		-0.000295	0.015626
0.00575		-0.000281	0.014277
0.0058		-0.000259	0.013939
0.00585		-0.000335	0.013938
0.0059		-0.000367	0.013865
0.00595		-0.000352	0.013885
0.006		-0.000325	0.013813
0.00605		-0.000354	0.013871
0.0061		-0.000288	0.013746
0.00615		-0.000256	0.013916
0.0062		-0.000308	0.01375
0.00625		-0.000297	0.014041
0.0063		-0.000304	0.013451
0.00635		-0.000307	0.015894
0.0064		-0.000352	0.024347
0.00645		-0.000282	0.026236
0.0065		-0.000288	0.026567
0.00655		-0.000247	0.026527
0.0066		-0.000295	0.026542
0.00665		-0.000292	0.026627
0.0067		-0.000302	0.026535
0.00675		-0.000287	0.026609
0.0068		-0.000373	0.026502
0.00685		-0.000255	0.026657
0.0069		-0.000369	0.026437
0.00695		0.000384	0.026641
0.007		0.001467	0.026306
0.00705		0.001603	0.031627
0.0071		0.001678	0.0356
0.00715		0.001589	0.035609
0.0072		0.001585	0.036
0.00725		0.001637	0.035852
0.0073		0.001644	0.035882
0.00735		0.001605	0.035846
0.0074		0.00163	0.035882
0.00745		0.001646	0.035989
0.0075		0.001644	0.035805
0.00755		0.001651	0.035986
0.0076		0.00139	0.035705
0.00765		0.000101	0.036241
0.0077		-0.000247	0.03166
0.00775		-0.00025	0.026055
0.0078		-0.000289	0.025857
0.00785		-0.00028	0.025295
0.0079		-0.00033	0.025558
0.00795		-0.000303	0.025232
0.008		-0.000291	0.025493
0.00805		-0.000326	0.025262
0.0081		-0.000299	0.025541
0.00815		-0.000333	0.025174
0.0082		-0.00027	0.025563
0.00825		-0.00033	0.025181
0.0083		0.000794	0.025888
0.00835		0.001534	0.022876
0.0084		0.001583	0.014577
0.00845		0.001572	0.013073
0.0085		0.001557	0.012608
0.00855		0.001614	0.0127
0.0086		0.001642	0.012675
0.00865		0.001589	0.012651
0.0087		0.001586	0.012637
0.00875		0.001604	0.012585
0.0088		0.001626	0.012656
0.00885		0.001555	0.012541
0.0089		0.001666	0.012666
0.00895		6.17E-05	0.012621
0.009		-0.001235	0.011941
0.00905		-0.001261	0.000148
0.0091		-0.001327	-0.004602
0.00915		-0.001291	-0.005156
0.0092		-0.001382	-0.005152
0.00925		-0.001276	-0.005427
0.0093		-0.001319	-0.005037
0.00935		-0.001293	-0.00551
0.0094		-0.001313	-0.004842
0.00945		-0.001294	-0.005789
0.0095		-0.001298	-0.004595
0.00955		-0.001256	-0.006224
0.0096		-0.001556	-0.003856
0.00965		-0.002218	-0.007386
0.0097		-0.002313	0.028422
0.00975		-0.002309	0.060955
0.0098		-0.002374	0.061917
0.00985		-0.002433	0.064633
0.0099		-0.00237	0.06344
0.00995		-0.002403	0.06445
0.01		-0.00235	0.06368
0.01005		-0.002376	0.064128
0.0101		-0.002339	0.063886
0.01015		-0.002411	0.063908
0.0102		-0.002385	0.064153
0.01025		-0.002283	0.063466
0.0103		-0.000975	0.065163
0.01035		-0.000354	0.05635
0.0104		-0.000287	0.027129
0.01045		-0.000295	0.021489
0.0105		-0.000326	0.019918
0.01055		-0.000284	0.020239
0.0106		-0.000354	0.019696
0.01065		-0.000296	0.020084
0.0107		-0.000328	0.019737
0.01075		-0.000271	0.019981
0.0108		-0.000296	0.019741
0.01085		-0.000281	0.020066
0.0109		-0.000292	0.019751
0.01095		-0.000269	0.02021
0.011		-0.000262	0.018062
0.01105		-0.000269	0.005543
0.0111		-0.000251	0.001326
0.01115		-0.000326	0.000995
0.0112		-0.000281	0.000792
0.01125		-0.000245	0.000927
0.0113		-0.000289	0.000803
0.01135		-0.000273	0.000886
0.0114		-0.000287	0.000773
0.01145		-0.000319	0.000919
0.0115		-0.000306	0.000769
0.01155		-0.000341	0.000842
0.0116		9.05E-05	0.000733
0.01165		0.000536	0.000764
0.0117		0.000559	-0.002528
0.01175		0.00062	-0.004179
0.0118		0.000583	-0.004299
0.01185		0.000558	-0.004354
0.0119		0.000574	-0.004392
0.01195		0.0006	-0.004376
0.012		0.000605	-0.004362
0.01205		0.000589	-0.00425
0.0121		0.000591	-0.004442
0.01215		0.000566	-0.004336
0.0122		0.000618	-0.004539
0.01225		0.00048	-0.004198
0.0123		-0.000122	-0.004756
0.01235		-0.000226	-0.000372
0.0124		-0.000296	0.004492
0.01245		-0.000314	0.004699
0.0125		-0.000319	0.005127
0.01255		-0.000266	0.004939
0.0126		-0.000366	0.005078
0.01265		-0.000221	0.005061
0.0127		-0.000274	0.005011
0.01275		-0.000296	0.004991
0.0128		-0.000296	0.004931
0.01285		-0.000265	0.00502
0.0129		-0.000266	0.0049
0.01295		-0.000251	0.005249
0.013		-0.00026	0.003494
0.01305		-0.00026	-0.004262
0.0131		-0.000276	-0.006142
0.01315		-0.000266	-0.006334
0.0132		-0.000265	-0.006421
0.01325		-0.000307	-0.006535
0.0133		-0.000378	-0.00648
0.01335		-0.000361	-0.006445
0.0134		-0.000291	-0.006454
0.01345		-0.000284	-0.006443
0.0135		-0.000324	-0.006401
0.01355		-0.000285	-0.006443
0.0136		-0.000683	-0.00635
0.01365		-0.001243	-0.007779
0.0137		-0.001279	-0.024818
0.01375		-0.001298	-0.032044
0.0138		-0.001337	-0.032401
0.01385		-0.0013	-0.032903
0.0139		-0.001313	-0.032673
0.01395		-0.001283	-0.032796
0.014		-0.001322	-0.032765
0.01405		-0.001337	-0.032755
0.0141		-0.001376	-0.032777
0.01415		-0.001331	-0.032741
0.0142		-0.001387	-0.032848
0.01425		-0.001064	-0.032684
0.0143		-0.000452	-0.033014
0.01435		-0.000328	-0.029335
0.0144		-0.000258	-0.025561
0.01445		-0.000315	-0.025508
0.0145		-0.000329	-0.025203
0.01455		-0.000328	-0.025437
0.0146		-0.000333	-0.02524
0.01465		-0.000361	-0.025407
0.0147		-0.000335	-0.025292
0.01475		-0.000345	-0.025465
0.0148		-0.000313	-0.025293
0.01485		-0.000288	-0.025356
0.0149		-0.000348	-0.025153
0.01495		-0.000345	-0.025443
0.015		-0.000367	-0.024493
0.01505		-0.00027	-0.022531
0.0151		-0.000244	-0.022247
0.01515		-0.000244	-0.022114
0.0152		-0.000233	-0.022184
0.01525		-0.00024	-0.022124
0.0153		-0.00025	-0.022176
0.01535		-0.000269	-0.022144
0.0154		-0.000233	-0.022154
0.01545		-0.000291	-0.022096
0.0155		-0.000303	-0.0221
0.01555		-0.000302	-0.022181
0.0156		-0.00033	-0.022062
0.01565		-0.000263	-0.022835
0.0157		-0.000251	-0.030386
0.01575		-0.000276	-0.033292
0.0158		-0.000291	-0.033527
0.01585		-0.000296	-0.033669
0.0159		-0.000345	-0.033634
0.01595		-0.000271	-0.033679
0.016		-0.000332	-0.033669
0.01605		-0.000321	-0.033578
0.0161		-0.000365	-0.033694
0.01615		-0.000348	-0.033587
0.0162		-0.000269	-0.033741
0.01625		-0.000271	-0.033494
0.0163		-0.000287	-0.033502
0.01635		-0.000326	-0.023294
0.0164		-0.000269	-0.017175
0.01645		-0.00027	-0.017084
0.0165		-0.000263	-0.016526
0.01655		-0.000269	-0.016788
0.0166		-0.00027	-0.016582
0.01665		-0.000266	-0.016779
0.0167		-0.00026	-0.016655
0.01675		-0.000259	-0.016746
0.0168		-0.000266	-0.01664
0.01685		-0.000308	-0.016733
0.0169		-0.000158	-0.016715
0.01695		0.000452	-0.016622
0.017		0.000605	-0.017217
0.01705		0.000639	-0.017733
0.0171		0.000624	-0.01774
0.01715		0.00067	-0.017833
0.0172		0.000672	-0.017845
0.01725		0.000637	-0.017823
0.0173		0.000618	-0.017814
0.01735		0.000581	-0.017831
0.0174		0.000613	-0.01784
0.01745		0.000672	-0.017746
0.0175		0.000609	-0.017942
0.01755		0.000484	-0.017649
0.0176		-0.0001	-0.018037
0.01765		-0.000228	-0.016134
0.0177		-0.000287	-0.012116
0.01775		-0.000299	-0.01162
0.0178		-0.000295	-0.011332
0.01785		-0.000332	-0.011406
0.0179		-0.000269	-0.011385
0.01795		-0.000303	-0.01144
0.018		-0.000281	-0.011405
0.01805		-0.000356	-0.011362
0.0181		-0.000317	-0.011383
0.01815		-0.000384	-0.011448
